Compound,Structure_family,CB2,CB1,Function,Potency,Selectivity,Evidence,Source
Qiu-14,1H-pyrazole-3-carboxamide; N1-o-morpholinophenyl; C3-CONH-1-adamantyl; C4-Me; C5-Ph,agonist (published functional claim),antagonist (published functional claim),Yin-Yang (CB1-ant + CB2-ago),NOT FOUND (numeric Ki/IC50/EC50 not recovered in PubChem/ChEMBL/BindingDB/open text; PDF paywalled),NOT FOUND (numeric SI),Single-lab cAMP (SI Fig.S5; n=3×triplicate); docking+MD H-bond hypothesis S173(CB1)/S285(CB2); no independent wet replication found; no fibrosis assay found,Qiu et al. Bioorg Chem 2023 133:106377 DOI:10.1016/j.bioorg.2023.106377 PMID:36731294; SI mmc1; InChIKey QQXQVTJJXRACOB-UHFFFAOYSA-N (0D)
Qiu-15,same scaffold; N1-m-morpholinophenyl; C3-CONH-1-adamantyl,NOT FOUND (open numeric),NOT FOUND (open numeric),SAR regioisomer of 14 (meta-morph); Yin-Yang claimed for ortho switch (14) not meta,NOT FOUND,NOT FOUND,Structure YES (Scheme S1/Fig.S6 SI); pharmacology tables not recovered as open numbers; docking collision note for meta/para in SI Fig.S6,Qiu 2023 DOI:10.1016/j.bioorg.2023.106377; InChIKey ZVVBFOFPAAUAGH-UHFFFAOYSA-N
Qiu-20,same scaffold; N1-o-(4-methylpiperazin-1-yl)phenyl; C3-CONH-1-adamantyl,NOT FOUND (open numeric),NOT FOUND (open numeric),SAR neighbor (piperazine vs morpholine),NOT FOUND,NOT FOUND,Structure YES (Scheme S1); functional numbers NOT FOUND open,Qiu 2023 DOI:10.1016/j.bioorg.2023.106377; InChIKey ZWCGYXUFIUXGBQ-UHFFFAOYSA-N
Qiu-24,same scaffold; N1-o-morpholinophenyl; C3-CONH-CH2-1-adamantyl,NOT FOUND (open numeric),NOT FOUND (open numeric),SAR linker homolog of 14,NOT FOUND,NOT FOUND,Structure YES (Scheme S1 Group II); functional numbers NOT FOUND open,Qiu 2023 DOI:10.1016/j.bioorg.2023.106377; InChIKey RAQAMHLYXWAFRF-UHFFFAOYSA-N
URB447,pyrrole 1;4;5-trisubstituted (not pyrazole),IC50 approx 41 nM (hCB2 binding reported),IC50 approx 313 nM (hCB1); neutral antagonist (GTPγS),Janus CB1-ant / CB2-ago (founding example),CB2 IC50 ~41 nM; CB1 IC50 ~313 nM,~7.6x CB2/CB1 by those IC50s,Peer-reviewed binding + functional CB1 neutral ant; peripheral metabolic pharmacology; no antifibrotic monomolecular assay found in project audits,LoVerme et al. Bioorg Med Chem Lett 2009 DOI:10.1016/j.bmcl.2008.12.059
GW405833 (L-768242),indole N-acyl / morpholinoethyl chemotype,Ki hCB2 approx 4-12 nM; partial agonist,Ki hCB1 approx 1.9-4.8 uM; complex noncompetitive CB1 antagonism,Janus-like (CB2-ago + CB1-ant complex),CB2 Ki ~4-12 nM,high CB2 vs CB1 by Ki,Peer-reviewed; Janus recharacterization 2017; no specific fibrosis model with this ligand found in project audits,Dhopeshwarkar et al. JPET 2017 DOI:10.1124/jpet.116.236539
AM1710,cannabilactone / benzo[c]chromen-6-one,Ki hCB2 approx 6.7 nM; EC50 approx 11 nM (one assay),Ki hCB1 approx 360 nM; low-potency antagonist/inverse,Janus-like,CB2 Ki ~6.7 nM,~54x by those Kis,Peer-reviewed; no direct antifibrotic assay found in project audits,Dhopeshwarkar et al. JPET 2017 DOI:10.1124/jpet.116.236539 (and prior AM1710 literature cited therein)
AM10257,pyrazole-3-carboxamide; N1-hydroxyalkyl; C3-adamantyl (CB2 antagonist crystal ligand),antagonist (structural/pharmacological reference),NOT FOUND as Janus,CB2 antagonist reference (Qiu SI control),NOT FOUND in this audit table,CB2-selective antagonist class,Used as CB2 antagonist control in Qiu SI Fig.S12; CB2 crystal complex literature (Li et al. Cell 2019 PDB 5ZTY lineage),Qiu SI; Li et al. Cell 2019 DOI:10.1016/j.cell.2018.12.011
AM6538 / rimonabant-class,1;5-diarylpyrazole-3-carboxamide (Sanofi),weak/nonselective vs CB2 typically,potent CB1 inverse agonist/antagonist,CB1-selective inverse agonist (historical),CB1 Ki nanomolar class (e.g. SR141716A Ki ~5.6 nM class values in reviews),CB1>>CB2 historically,Hyper-saturated patent/literature space; design template for Qiu N1/C3 variation,US5624941; classic SR141716A literature
CP55940,classical nonselective cannabinoid agonist,agonist,agonist,nonselective CB1/CB2 agonist,NOT FOUND (assay-dependent; used as reference),low selectivity,Standard positive control in Qiu SI CB2 agonist panels,Qiu SI Fig.S5/S13
